Player,PlayerLine
ROMEO,With this night's revels and expire the term
ROMEO,Of a despised life closed in my breast
ROMEO,By some vile forfeit of untimely death.
ROMEO,"But He, that hath the steerage of my course,"
ROMEO,"Direct my sail! On, lusty gentlemen."
ROMEO,"[To a Servingman]  What lady is that, which doth"
ROMEO,enrich the hand
ROMEO,Of yonder knight?
ROMEO,"O, she doth teach the torches to burn bright!"
ROMEO,It seems she hangs upon the cheek of night
ROMEO,"Like a rich jewel in an Ethiope's ear,"
ROMEO,"Beauty too rich for use, for earth too dear!"
ROMEO,"So shows a snowy dove trooping with crows,"
ROMEO,As yonder lady o'er her fellows shows.
ROMEO,"The measure done, I'll watch her place of stand,"
ROMEO,"And, touching hers, make blessed my rude hand."
ROMEO,"Did my heart love till now? forswear it, sight!"
ROMEO,For I ne'er saw true beauty till this night.
ROMEO,[To JULIET]  If I profane with my unworthiest hand
ROMEO,"This holy shrine, the gentle fine is this:"
ROMEO,"My lips, two blushing pilgrims, ready stand"
ROMEO,To smooth that rough touch with a tender kiss.
JULIET,"Good pilgrim, you do wrong your hand too much,"
JULIET,"Which mannerly devotion shows in this,"
JULIET,"For saints have hands that pilgrims' hands do touch,"
JULIET,And palm to palm is holy palmers' kiss.
ROMEO,"Have not saints lips, and holy palmers too?"
JULIET,"Ay, pilgrim, lips that they must use in prayer."
ROMEO,"O, then, dear saint, let lips do what hands do,"
ROMEO,"They pray, grant thou, lest faith turn to despair."
JULIET,"Saints do not move, though grant for prayers' sake."
ROMEO,"Then move not, while my prayer's effect I take."
ROMEO,"Thus from my lips, by yours, my sin is purged."
JULIET,Then have my lips the sin that they have took.
ROMEO,Sin from thy lips? O trespass sweetly urged!
ROMEO,Give me my sin again.
JULIET,You kiss by the book.
ROMEO,What is her mother?
ROMEO,Is she a Capulet?
ROMEO,O dear account! my life is my foe's debt.
ROMEO,"Ay, so I fear, the more is my unrest."
JULIET,"Come hither, nurse. What is yond gentleman?"
JULIET,What's he that now is going out of door?
JULIET,"What's he that follows there, that would not dance?"
JULIET,Go ask his name: if he be married.
JULIET,My grave is like to be my wedding bed.
JULIET,My only love sprung from my only hate!
JULIET,"Too early seen unknown, and known too late!"
JULIET,"Prodigious birth of love it is to me,"
JULIET,That I must love a loathed enemy.
JULIET,A rhyme I learn'd even now
JULIET,Of one I danced withal.
JULIET,One calls within 'Juliet.'
ROMEO,Can I go forward when my heart is here?
ROMEO,"Turn back, dull earth, and find thy centre out."
ROMEO,"He climbs the wall, and leaps down within it"
ROMEO,Enter BENVOLIO and MERCUTIO
ROMEO,He jests at scars that never felt a wound.
ROMEO,JULIET appears above at a window
ROMEO,"But, soft! what light through yonder window breaks?"
ROMEO,"It is the east, and Juliet is the sun."
ROMEO,"Arise, fair sun, and kill the envious moon,"
ROMEO,"Who is already sick and pale with grief,"
ROMEO,That thou her maid art far more fair than she:
ROMEO,"Be not her maid, since she is envious,"
ROMEO,Her vestal livery is but sick and green
ROMEO,"And none but fools do wear it, cast it off."
ROMEO,"It is my lady, O, it is my love!"
ROMEO,"O, that she knew she were!"
ROMEO,She speaks yet she says nothing: what of that?
ROMEO,"Her eye discourses, I will answer it."
ROMEO,"I am too bold, 'tis not to me she speaks:"
ROMEO,"Two of the fairest stars in all the heaven,"
ROMEO,"Having some business, do entreat her eyes"
ROMEO,To twinkle in their spheres till they return.
ROMEO,"What if her eyes were there, they in her head?"
